"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Aug, 2020","% of Total Holding","Quantity","Month Change <br> in Shares%","Month Change","History "
"Mahindra Holidays & Resorts India Ltd","Consumer Cyclical","638346826","657974000","0.3","3738488","2100","0.06","/mutual-fund/holding-history/8750/860/"
"Jagran Prakashan Ltd","Communication Services","622088745.25","659665000","0.3","16700369","-","-","/mutual-fund/holding-history/8750/654/"
"Greenply Industries Ltd","Basic Materials","639042300","667269000","0.3","7527000","-","-","/mutual-fund/holding-history/8750/494/"
"Vardhman Textiles Ltd","Consumer Cyclical","550618560","599654000","0.27","708100","-","-","/mutual-fund/holding-history/8750/1504/"
"Arvind Fashions Ltd","Consumer Cyclical","364567167.3","420983000","0.19","2849294","-","-","/mutual-fund/holding-history/8750/130968/"
"Arvind Ltd","Consumer Cyclical","397497474","403520000","0.18","12045378","-","-","/mutual-fund/holding-history/8750/105/"
"Greenpanel Industries Ltd Ordinary Shares","Consumer Cyclical","326062040.7","340522000","0.15","7229757","-78500","-1.07","/mutual-fund/holding-history/8750/170350/"
"The Anup Engineering Ltd","Industrials","302879867","281840000","0.13","508828","-","-","/mutual-fund/holding-history/8750/130216/"
"GFL Ltd","Basic Materials","213304998.4","251414000","0.11","2646464","-","-","/mutual-fund/holding-history/8750/512/"
"Zee Entertainment Enterprises Ltd 6 % Pref.Shs 2014-5.3.22 Cum.Red.Non-Conv","-","-","7828000","0","2205000","-","-","-"
